epoch,train_loss,val_loss
1,2.4709930348396303,2.2818419551849365
2,2.2476497650146485,2.2131102752685545
3,2.1802416014671326,2.189194016456604
4,2.130665113925934,2.1087625408172608
5,2.0887333226203917,2.038187274932861
6,2.013208119869232,1.997470874786377
7,1.960656247138977,2.0049430084228517
8,1.9281441378593445,1.9446647310256957
9,1.900628535747528,1.888206834793091
10,1.9254090571403504,1.9204523229599
11,1.8504539513587952,1.8597027444839478
12,1.7952623915672303,1.7927664613723755
