epoch,train_loss,val_loss
1,2.179304337501526,2.1666326332092285
2,2.077176468372345,1.9900567102432252
3,1.9892026829719542,1.9527537488937379
4,1.9329295063018799,1.9432458925247191
5,1.902009675502777,1.9169667148590088
6,1.8686980390548706,1.8967735767364502
7,1.8385901618003846,1.867069206237793
8,1.8457272577285766,1.907648777961731
9,1.839052095413208,1.9072381353378296
10,1.8082374048233032,1.8548578119277954
11,1.8140210151672362,1.8858204936981202
12,1.799691734313965,1.8252954769134522
13,1.79296795129776,1.8507827377319337
14,1.7896474075317383,1.8159255504608154
15,1.7654821705818176,1.8093025064468384
16,1.742136948108673,1.8106076669692994
17,1.7313839435577392,1.7903904294967652
18,1.7394629335403442,1.7974076652526856
19,1.737845413684845,1.7825462245941162
20,1.7127409434318543,1.8020243740081787
21,1.6977468943595886,1.7690546464920045
22,1.7072148156166076,1.7795088911056518
23,1.7040392327308655,1.7607674646377562
24,1.6807544755935668,1.7907306814193726
25,1.6942067170143127,1.770496768951416
